category,rank,asin,name,title,rating,reviews,symbol,value,image,link,date,origin
Amazon Renewed,#1,B08TJ2LGB8,Apple-AirPods-Pro-generatie-Refurbished,Apple AirPods Pro (1e generatie) (Refurbished),"3,6 van 5 sterren",800,€ ,"129,00","https://images-eu.ssl-images-amazon.com/images/I/71eGsUPZm2L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-AirPods-Pro-generatie-Refurbished/dp/B08TJ2LGB8/ref=zg_bs_g_amazon-renewed_d_sccl_1/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#2,B00NBR7962,Sony-Mdr-Zx110-Opvouwbare-Instapkoptelefoon-Uitstekend,"Sony Mdr-Zx110/Wc(Ae) Opvouwbare Instapkoptelefoon Met Uitstekend Geluid (30 Mm Driver), Wit","4,5 van 5 sterren",15.897,€ ,"13,90","https://images-eu.ssl-images-amazon.com/images/I/61ZbQQiPo4L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Sony-Mdr-Zx110-Opvouwbare-Instapkoptelefoon-Uitstekend/dp/B00NBR7962/ref=zg_bs_g_amazon-renewed_d_sccl_2/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#3,B09W61THXJ,SAMSUNG-Galaxy-A52-Smartphone-Refurbished,"SAMSUNG Galaxy A52 - Smartphone 128GB, 6GB RAM, Dual Sim, Black (Renewed) (Refurbished)","3,5 van 5 sterren",2,€ ,"178,89","https://images-eu.ssl-images-amazon.com/images/I/811ghfKcaLS._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/SAMSUNG-Galaxy-A52-Smartphone-Refurbished/dp/B09W61THXJ/ref=zg_bs_g_amazon-renewed_d_sccl_3/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#4,B0C5MYPB4H,Seagate-Exos-14Tb-512E-Refurbished,Seagate Exos X18 14Tb HDD 512E/4KN SATA (Refurbished),"4,1 van 5 sterren",4,€ ,"169,90","https://images-eu.ssl-images-amazon.com/images/I/61kQf6GAZKL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Seagate-Exos-14Tb-512E-Refurbished/dp/B0C5MYPB4H/ref=zg_bs_g_amazon-renewed_d_sccl_4/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#5,B0BLD3PGXB,Sonnics-Desktop-Surveillance-Systeem-Refurbished,"Sonnics 3 TB 3.5 ""SATA Harde Schijf 7200 RPM Desktop PC/Surveillance Opslag Harde Schijf CCTV Camera CCTV Systeem DVR (Refurbished)","3,8 van 5 sterren",249,€ ,"38,09","https://images-eu.ssl-images-amazon.com/images/I/51bl5ifCHTL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Sonnics-Desktop-Surveillance-Systeem-Refurbished/dp/B0BLD3PGXB/ref=zg_bs_g_amazon-renewed_d_sccl_5/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#6,B0B2XSLDL7,Apple-Magic-Keyboard-voor-9%E2%80%91inch,"Apple Magic Keyboard (voor 12,9‑inch iPad Pro - 5e generatie) - amerikansk engelsk - zwart (Refurbished)","4,5 van 5 sterren",14,€ ,"256,89","https://images-eu.ssl-images-amazon.com/images/I/81UDF62AqHS._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-Magic-Keyboard-voor-9%E2%80%91inch/dp/B0B2XSLDL7/ref=zg_bs_g_amazon-renewed_d_sccl_6/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#7,B0CHW75TMN,hoofdtelefoon-ruisonderdrukking-stemonderdrukking-ANC-batterijvermogen-app-bediening,"soundcore by Anker, Space One draadloze hoofdtelefoon, adaptieve actieve ruisonderdrukking, 2x sterkere stemonderdrukking, 40h ANC-batterijvermogen, app-bediening, hi-res audio, lichtgewicht ontwerp, (Refurbished)","4,3 van 5 sterren",295,€ ,"79,99","https://images-eu.ssl-images-amazon.com/images/I/51e9r5O2h5L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/hoofdtelefoon-ruisonderdrukking-stemonderdrukking-ANC-batterijvermogen-app-bediening/dp/B0CHW75TMN/ref=zg_bs_g_amazon-renewed_d_sccl_7/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#8,B0CR9HYHP6,Apple-MacBook-13-inch-Spacegrijs-Refurbished,"2020 Apple MacBook Air with Apple M1 Chip (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Spacegrijs (Refurbished)","4,3 van 5 sterren",11,€ ,"721,89","https://images-eu.ssl-images-amazon.com/images/I/31TIRwCLTDL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-MacBook-13-inch-Spacegrijs-Refurbished/dp/B0CR9HYHP6/ref=zg_bs_g_amazon-renewed_d_sccl_8/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#9,B08Y2HM3YS,Apple-MacBook-QWERTY-Engels-gereviseerd,"2020 Apple MacBook Air met Intel Core i3 (13 inch, 8 GB RAM, 256 GB SSD) (QWERTY Engels) zilver (gereviseerd)","3,0 van 5 sterren",13,€ ,"643,89","https://images-eu.ssl-images-amazon.com/images/I/71wsZsrDfHL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-MacBook-QWERTY-Engels-gereviseerd/dp/B08Y2HM3YS/ref=zg_bs_g_amazon-renewed_d_sccl_9/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#10,B09K1RVTV6,2021-Apple-iPad-10-2%E2%80%91inch-Wi-Fi,"2021 Apple iPad (10.2‑inch, Wi-Fi, 64GB) - Spacegrijs (Refurbished)","4,2 van 5 sterren",330,€ ,"307,89","https://images-eu.ssl-images-amazon.com/images/I/61zdQQORNML._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/2021-Apple-iPad-10-2%E2%80%91inch-Wi-Fi/dp/B09K1RVTV6/ref=zg_bs_g_amazon-renewed_d_sccl_10/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#11,B09MJR5TDJ,Apple-iPhone-Pro-128-grafiet,"Apple iPhone 13 Pro, 128 GB, grafiet - (refurbished)","3,9 van 5 sterren",232,€ ,"619,00","https://images-eu.ssl-images-amazon.com/images/I/61Z9q1+EINL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-iPhone-Pro-128-grafiet/dp/B09MJR5TDJ/ref=zg_bs_g_amazon-renewed_d_sccl_11/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#12,B07JKJ4J93,Seagate-Barracuda-interne-schijf-Refurbished,"Seagate Barracuda interne harde schijf (8 TB (Serial ATA III, 5.400 rpm, 3,5 inch) (Refurbished)","4,1 van 5 sterren",86,€ ,"124,90","https://images-eu.ssl-images-amazon.com/images/I/71P8tfSOFgL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Seagate-Barracuda-interne-schijf-Refurbished/dp/B07JKJ4J93/ref=zg_bs_g_amazon-renewed_d_sccl_12/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#13,B0CFFKHZCR,Seagate-Enterprise-Capacity-ST12000NM0127-Refurbished,"Seagate Enterprise Capacity v7 ST12000NM0127 - harde schijf - 12 TB - intern - 3,5 inch - SATA 6 Gb/s - 7200 RPM - 256 MB cache (Refurbished)","4,3 van 5 sterren",458,€ ,"134,90","https://images-eu.ssl-images-amazon.com/images/I/81OvSTN59UL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Seagate-Enterprise-Capacity-ST12000NM0127-Refurbished/dp/B0CFFKHZCR/ref=zg_bs_g_amazon-renewed_d_sccl_13/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#14,B07YX526XT,Samsung-Android-Dual-SIM-Smartphone-Refurbished,"Samsung Galaxy A40 64 GB Android Dual-SIM 5.9 Inch Smartphone (UK Version) , Smartphone, Zwart(Refurbished)","4,0 van 5 sterren",705,€ ,"132,89","https://images-eu.ssl-images-amazon.com/images/I/91VEhm3hwmL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Samsung-Android-Dual-SIM-Smartphone-Refurbished/dp/B07YX526XT/ref=zg_bs_g_amazon-renewed_d_sccl_14/260-3771106-3350406?psc=1,2024-09-13,best_sellers
